id,parentId,size
day,
monday,day
tuesday,day
wednesday,day
thursday,day
friday,day
saturday,day
sunday,day
weed,monday,323
weed,tuesday,302
weed,wednesday,201
weed,thursday,281
weed,friday,323
weed,saturday,227
weed,sunday,225
heroin,monday,753
heroin,tuesday,826
heroin,wednesday,848
heroin,thursday,887
heroin,friday,847
heroin,saturday,634
heroin,sunday,674
needle,monday,1539
needle,tuesday,1598
needle,wednesday,1630
needle,thursday,1585
needle,friday,1607
needle,saturday,1337
needle,sunday,1113